"","delta","TWFE","TWFE (drops)","Callaway-Sant'Anna","name","se"
"1",-0.025,-0.0250037196302369,-0.0241946866942783,-0.0332333337190378,"TWFE Clustered SE",0.00492035611398437
"2",-0.025,-0.0250037196302369,-0.0241946866942783,-0.0332333337190378,"TWFE Robust SE",0.00440103462636801
"3",-0.025,-0.0250037196302369,-0.0241946866942783,-0.0332333337190378,"TWFE (drops) Clustered SE",0.00574367923921406
"4",-0.025,-0.0250037196302369,-0.0241946866942783,-0.0332333337190378,"TWFE (drops) Robust SE",0.00673390964911599
"5",-0.025,-0.0250037196302369,-0.0241946866942783,-0.0332333337190378,"Callaway-Sant'Anna SE",0.012527687613423
"6",-0.025,-0.0251332312122137,-0.0276142860352575,-0.0331652682268067,"TWFE Clustered SE",0.00426662437576088
"7",-0.025,-0.0251332312122137,-0.0276142860352575,-0.0331652682268067,"TWFE Robust SE",0.00440879184480855
"8",-0.025,-0.0251332312122137,-0.0276142860352575,-0.0331652682268067,"TWFE (drops) Clustered SE",0.00573259215477934
"9",-0.025,-0.0251332312122137,-0.0276142860352575,-0.0331652682268067,"TWFE (drops) Robust SE",0.00675788574278957
"10",-0.025,-0.0251332312122137,-0.0276142860352575,-0.0331652682268067,"Callaway-Sant'Anna SE",0.0126448956954046
"11",-0.025,-0.0243750674310683,-0.0149570071466234,-0.00494062340954836,"TWFE Clustered SE",0.00347522029533716
"12",-0.025,-0.0243750674310683,-0.0149570071466234,-0.00494062340954836,"TWFE Robust SE",0.00438670421264246
"13",-0.025,-0.0243750674310683,-0.0149570071466234,-0.00494062340954836,"TWFE (drops) Clustered SE",0.00635679916969154
"14",-0.025,-0.0243750674310683,-0.0149570071466234,-0.00494062340954836,"TWFE (drops) Robust SE",0.00675018347418647
"15",-0.025,-0.0243750674310683,-0.0149570071466234,-0.00494062340954836,"Callaway-Sant'Anna SE",0.0123472478331926
"16",-0.025,-0.0272328906473201,-0.0232008965769004,-0.0252105398518709,"TWFE Clustered SE",0.00408077202531166
"17",-0.025,-0.0272328906473201,-0.0232008965769004,-0.0252105398518709,"TWFE Robust SE",0.00439051499411549
"18",-0.025,-0.0272328906473201,-0.0232008965769004,-0.0252105398518709,"TWFE (drops) Clustered SE",0.00763631228504137
"19",-0.025,-0.0272328906473201,-0.0232008965769004,-0.0252105398518709,"TWFE (drops) Robust SE",0.00673483001155931
"20",-0.025,-0.0272328906473201,-0.0232008965769004,-0.0252105398518709,"Callaway-Sant'Anna SE",0.0124159468018219
"21",-0.025,-0.0221463282679893,-0.0251874203322691,-0.0621121369971307,"TWFE Clustered SE",0.00481008195423069
"22",-0.025,-0.0221463282679893,-0.0251874203322691,-0.0621121369971307,"TWFE Robust SE",0.00439438161268475
"23",-0.025,-0.0221463282679893,-0.0251874203322691,-0.0621121369971307,"TWFE (drops) Clustered SE",0.00728850853055558
"24",-0.025,-0.0221463282679893,-0.0251874203322691,-0.0621121369971307,"TWFE (drops) Robust SE",0.00674155503921433
"25",-0.025,-0.0221463282679893,-0.0251874203322691,-0.0621121369971307,"Callaway-Sant'Anna SE",0.0127762848930072
"26",-0.025,-0.0263864569785549,-0.0296386010598201,-0.00731029980748626,"TWFE Clustered SE",0.00430357139821024
"27",-0.025,-0.0263864569785549,-0.0296386010598201,-0.00731029980748626,"TWFE Robust SE",0.00439882719151753
"28",-0.025,-0.0263864569785549,-0.0296386010598201,-0.00731029980748626,"TWFE (drops) Clustered SE",0.00562023535439562
"29",-0.025,-0.0263864569785549,-0.0296386010598201,-0.00731029980748626,"TWFE (drops) Robust SE",0.00673673122349533
"30",-0.025,-0.0263864569785549,-0.0296386010598201,-0.00731029980748626,"Callaway-Sant'Anna SE",0.0122924215039964
"31",-0.025,-0.0165704298957032,-0.018032060069492,-0.0330435719637912,"TWFE Clustered SE",0.00481176771107751
"32",-0.025,-0.0165704298957032,-0.018032060069492,-0.0330435719637912,"TWFE Robust SE",0.00440058505626171
"33",-0.025,-0.0165704298957032,-0.018032060069492,-0.0330435719637912,"TWFE (drops) Clustered SE",0.00824402101464407
"34",-0.025,-0.0165704298957032,-0.018032060069492,-0.0330435719637912,"TWFE (drops) Robust SE",0.00673583566858473
"35",-0.025,-0.0165704298957032,-0.018032060069492,-0.0330435719637912,"Callaway-Sant'Anna SE",0.0126632396644671
"36",-0.025,-0.0144322819865681,-0.0101134235062718,-0.00208658755231354,"TWFE Clustered SE",0.00399363434659305
"37",-0.025,-0.0144322819865681,-0.0101134235062718,-0.00208658755231354,"TWFE Robust SE",0.00438714287875323
"38",-0.025,-0.0144322819865681,-0.0101134235062718,-0.00208658755231354,"TWFE (drops) Clustered SE",0.0059267075110928
"39",-0.025,-0.0144322819865681,-0.0101134235062718,-0.00208658755231354,"TWFE (drops) Robust SE",0.00672160780746202
"40",-0.025,-0.0144322819865681,-0.0101134235062718,-0.00208658755231354,"Callaway-Sant'Anna SE",0.0123456393791987
"41",-0.025,-0.0304454747672682,-0.0175441441763223,-0.00275811899226892,"TWFE Clustered SE",0.00363122074152815
"42",-0.025,-0.0304454747672682,-0.0175441441763223,-0.00275811899226892,"TWFE Robust SE",0.00438763748277171
"43",-0.025,-0.0304454747672682,-0.0175441441763223,-0.00275811899226892,"TWFE (drops) Clustered SE",0.00333471188849606
"44",-0.025,-0.0304454747672682,-0.0175441441763223,-0.00275811899226892,"TWFE (drops) Robust SE",0.00674976873663316
"45",-0.025,-0.0304454747672682,-0.0175441441763223,-0.00275811899226892,"Callaway-Sant'Anna SE",0.0122798416858275
"46",-0.025,-0.0267504477508249,-0.0270927223031577,-0.037403540631366,"TWFE Clustered SE",0.00382001306765947
"47",-0.025,-0.0267504477508249,-0.0270927223031577,-0.037403540631366,"TWFE Robust SE",0.00440286186441469
"48",-0.025,-0.0267504477508249,-0.0270927223031577,-0.037403540631366,"TWFE (drops) Clustered SE",0.00496441847349565
"49",-0.025,-0.0267504477508249,-0.0270927223031577,-0.037403540631366,"TWFE (drops) Robust SE",0.00674986964655213
"50",-0.025,-0.0267504477508249,-0.0270927223031577,-0.037403540631366,"Callaway-Sant'Anna SE",0.0125582335618438
"51",-0.025,-0.0300712518316614,-0.0345376275606429,-0.0354221343794556,"TWFE Clustered SE",0.00422696722469426
"52",-0.025,-0.0300712518316614,-0.0345376275606429,-0.0354221343794556,"TWFE Robust SE",0.00440303510964427
"53",-0.025,-0.0300712518316614,-0.0345376275606429,-0.0354221343794556,"TWFE (drops) Clustered SE",0.00582927005522696
"54",-0.025,-0.0300712518316614,-0.0345376275606429,-0.0354221343794556,"TWFE (drops) Robust SE",0.00676833783381596
"55",-0.025,-0.0300712518316614,-0.0345376275606429,-0.0354221343794556,"Callaway-Sant'Anna SE",0.0125555083922361
"56",-0.025,-0.0237704077941645,-0.0181617265327227,-0.0221636736827371,"TWFE Clustered SE",0.00382678366135175
"57",-0.025,-0.0237704077941645,-0.0181617265327227,-0.0221636736827371,"TWFE Robust SE",0.00438379250279009
"58",-0.025,-0.0237704077941645,-0.0181617265327227,-0.0221636736827371,"TWFE (drops) Clustered SE",0.00681346020659848
"59",-0.025,-0.0237704077941645,-0.0181617265327227,-0.0221636736827371,"TWFE (drops) Robust SE",0.0067420682692725
"60",-0.025,-0.0237704077941645,-0.0181617265327227,-0.0221636736827371,"Callaway-Sant'Anna SE",0.0126844831042141
"61",-0.025,-0.0303988320429917,-0.0292041119932875,-0.0351537463169602,"TWFE Clustered SE",0.00464263739140699
"62",-0.025,-0.0303988320429917,-0.0292041119932875,-0.0351537463169602,"TWFE Robust SE",0.00439958679749329
"63",-0.025,-0.0303988320429917,-0.0292041119932875,-0.0351537463169602,"TWFE (drops) Clustered SE",0.00862110611542509
"64",-0.025,-0.0303988320429917,-0.0292041119932875,-0.0351537463169602,"TWFE (drops) Robust SE",0.00674322801354572
"65",-0.025,-0.0303988320429917,-0.0292041119932875,-0.0351537463169602,"Callaway-Sant'Anna SE",0.0124616372892758
"66",-0.025,-0.0236126411836713,-0.0194564591056236,-0.0401451965709159,"TWFE Clustered SE",0.00351079965611735
"67",-0.025,-0.0236126411836713,-0.0194564591056236,-0.0401451965709159,"TWFE Robust SE",0.00439513663881521
"68",-0.025,-0.0236126411836713,-0.0194564591056236,-0.0401451965709159,"TWFE (drops) Clustered SE",0.00642596975620303
"69",-0.025,-0.0236126411836713,-0.0194564591056236,-0.0401451965709159,"TWFE (drops) Robust SE",0.00674763821338237
